client,tau,theta_star,final_pnl
A,5,0.44,10387.386132999982
A,10,0.47000000000000003,13214.485690000041
A,15,0.47000000000000003,15078.404775999992
A,20,0.45,18789.398147000007
A,25,0.46,20555.354278
A,30,0.46,22394.83156200003
B,5,0.46,9843.467525000018
B,10,0.46,10338.329968000025
B,15,0.46,12455.088856000126
B,20,0.48,13193.211502000036
B,25,0.46,14399.694414999994
B,30,0.48,16229.194032999989
C,5,0.47000000000000003,7731.822443000037
C,10,0.48,7998.605256999956
C,15,0.48,8162.2334449999935
C,20,0.49,7334.053891999942
C,25,0.49,8243.381574999927
C,30,0.49,8202.170077000017
D,5,0.48,5358.716148000018
D,10,0.5,3209.382017999998
D,15,0.5,2043.1413370000087
D,20,0.5,116.57229199997937
D,25,0.5,-307.053193000036
D,30,0.51,-779.277521000022
E,5,0.49,3924.9358010000706
E,10,0.5,2228.185172000066
E,15,0.52,501.24109800004544
E,20,0.5,-23.475860000000907
E,25,0.0,0.0
E,30,0.53,52.23476700000005
F,5,0.49,2241.9553640000613
F,10,0.52,-156.0547049999928
F,15,0.53,-801.4310620000094
F,20,0.54,-4.933862000004083
F,25,0.0,0.0
F,30,0.0,0.0
